PolyOrigin-PolyAncestry,designinfo
population,A,B,C
1,2,0,0
2,1,1,0
3,1,0,1
4,0,1,1
PolyOrigin-PolyAncestry,parentinfo
individual,ploidy
A,4
B,4
C,4
PolyOrigin-PolyAncestry,offspringinfo
individual,population,ploidy,isoutlier
AxA0001,1,4,false
AxA0002,1,4,false
AxA0003,1,4,false
AxA0004,1,4,false
AxA0005,1,4,false
AxA0006,1,4,false
AxA0007,1,4,false
AxA0008,1,4,false
AxA0009,1,4,false
AxA0010,1,4,false
AxB0001,2,4,false
AxB0002,2,4,false
AxB0003,2,4,false
AxB0004,2,4,false
AxB0005,2,4,false
AxB0006,2,4,false
AxB0007,2,4,false
AxB0008,2,4,false
AxB0009,2,4,false
AxB0010,2,4,false
AxC0001,3,4,false
AxC0002,3,4,false
AxC0003,3,4,false
AxC0004,3,4,false
AxC0005,3,4,false
AxC0006,3,4,false
AxC0007,3,4,false
AxC0008,3,4,false
AxC0009,3,4,false
AxC0010,3,4,false
BxC0001,4,4,false
BxC0002,4,4,false
BxC0003,4,4,false
BxC0004,4,4,false
BxC0005,4,4,false
BxC0006,4,4,false
BxC0007,4,4,false
BxC0008,4,4,false
BxC0009,4,4,false
BxC0010,4,4,false
PolyOrigin-PolyAncestry,delmarker
marker,chromosome,position
PolyOrigin-PolyAncestry,correction
round,marker,chromosome,parent,old_genotype,new_genotype,old_nerr,new_nerr
A,AxA0004,1,1|13|4|9|3|16|15|12|14|8|5|2,1:2-3:4|1:2-3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2-3:4|1:4-2:3|1:4-2:3|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4,-18.003|-19.962|-19.962|-20.172|-20.172|-22.266|-23.919|-23.919|-24.948|-24.948|-25.559|-25.559,0.6523|0.0919|0.0919|0.0746|0.0746|0.0092|0.0018|0.0018|0.0006|0.0006|0.0003|0.0003
A,AxA0005,1,14|8|5|2|16|13|4|15|12|9|3|10|7,1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:2-3:4|1:4-2:3|1:4-2:3|1:2-3:4|1:3-2:4|1:4-2:3|1:4-2:3|1:3-2:4,-27.597|-27.597|-27.805|-27.805|-28.292|-28.497|-28.497|-29.793|-29.793|-30.446|-30.446|-31.685|-31.685,0.1884|0.1884|0.153|0.153|0.094|0.0766|0.0766|0.021|0.021|0.0109|0.0109|0.0032|0.0032
A,AxA0006,1,5|2|13|4|16|14|8,1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4,-27.645|-27.645|-28.974|-28.974|-30.731|-31.144|-31.144,0.3794|0.3794|0.1004|0.1004|0.0173|0.0115|0.0115
A,AxA0007,1,1|13|4|16|5|2|14|8,1:2-3:4|1:2-3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4,-26.143|-28.714|-28.714|-31.326|-32.118|-32.118|-35.137|-35.137,0.8593|0.0657|0.0657|0.0048|0.0022|0.0022|0.0001|0.0001
A,AxA0008,1,5|2|14|8|13|4|16|1,1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2-3:4,-26.875|-26.875|-28.291|-28.291|-29.436|-29.436|-29.58|-31.973,0.3686|0.3686|0.0895|0.0895|0.0285|0.0285|0.0246|0.0023
A,AxA0009,1,13|4|9|3|5|2|16|14|8|15|12|10|7,1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2-3:4|1:4-2:3|1:4-2:3|1:2-3:4|1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:3-2:4|1:4-2:3|1:4-2:3|1:3-2:4,-28.294|-28.294|-28.298|-28.298|-28.615|-28.615|-29.827|-29.843|-29.843|-30.477|-30.477|-34.194|-34.194,0.1583|0.1583|0.1578|0.1578|0.1149|0.1149|0.0342|0.0337|0.0337|0.0178|0.0178|0.0004|0.0004
A,AxA0010,1,11|15|12|10|7|16|14|8,1:4-2:3|1:4-2:3|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:3-2:4|1:4-2:3|1:4-2:3|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4,-15.419|-17.3|-17.3|-17.474|-17.474|-19.557|-21.201|-21.201,0.6316|0.0963|0.0963|0.0809|0.0809|0.0101|0.0019|0.0019
A,AxB0001,2,2|14|4|16,1:3-2:4|5:6-7:8|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-31.299|-33.144|-35.414|-37.258,0.8497|0.1342|0.0139|0.0022
A,AxB0002,2,1|5|3|7|13|15|4|8|16,1:2-3:4|5:6-7:8|1:2-3:4|5:7-6:8|1:4-2:3|5:6-7:8|1:4-2:3|5:7-6:8|1:2-3:4|5:6:7:8-5:6:7:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-16.7|-16.771|-17.1|-17.17|-17.444|-17.838|-17.911|-17.981|-18.647,0.2108|0.1965|0.1414|0.1319|0.1003|0.0676|0.0628|0.0586|0.0301
A,AxB0003,2,11|12|15|16,1:4-2:3|5:8-6:7|1:2:3:4-1:2:3:4|5:8-6:7|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-34.012|-37.927|-38.95|-42.865,0.9735|0.0194|0.007|0.0001
